;file;rule;runtime_profile;runtime_multiprofile;time_gains;time_gains_percent;length_gains;length_gains_percent;num_voters;num_sat;avg_vote_length;avg_vote_length_cat
284;poland_warszawa_2018_obszar-1-plac-wojska-polskiego-wola-grzybowska-centrum-groszowka-grzybowa-zielona.pb;greedy_welfare;0.01252293586730957;0.002412557601928711;0.01011037826538086;0.8073488814850072;899;0.8473138548539114;1061;162;2.899151743638077;3
285;poland_warszawa_2017_tarchomin-nowodwory-piekielko.pb;greedy_welfare;0.3388206958770752;0.35834836959838867;-0.019527673721313477;-0.05763424123418415;1528;0.31511651886987;4849;3321;6.416168282120025;6
286;poland_warszawa_2017_zacisze.pb;greedy_welfare;0.0245058536529541;0.014515876770019531;0.00998997688293457;0.4076567592547551;647;0.5844625112917796;1107;460;3.897018970189702;4
287;poland_lodz_2020_wiskitno.pb;greedy_welfare;0.004669666290283203;3.838539123535156e-05;0.0046312808990478516;0.9917798427448177;1355;0.9948604992657856;1362;7;1.7958883994126285;2
288;poland_warszawa_2020_bielany.pb;greedy_welfare;1.3065097332000732;1.2706298828125;0.03587985038757324;0.027462367463341963;2395;0.29926277645882793;8003;5608;8.485068099462701;8
289;poland_warszawa_2022_wola.pb;greedy_welfare;1.1091673374176025;1.2607855796813965;-0.15161824226379395;-0.13669555273489764;2920;0.31547104580812446;9256;6336;9.090319792566984;9
290;poland_lodz_2022_katedralna.pb;greedy_welfare;0.03220200538635254;0.010262489318847656;0.021939516067504883;0.6813089993706734;1421;0.7401041666666667;1920;499;2.127083333333333;2
291;poland_warszawa_2019_wola.pb;greedy_welfare;0.1289196014404297;0.09876728057861328;0.030152320861816406;0.23388468878992763;1847;0.4531403336604515;4076;2229;5.300294406280667;5
292;poland_warszawa_2019_chomiczowka.pb;greedy_welfare;0.02363729476928711;0.01824212074279785;0.005395174026489258;0.22824837102338058;518;0.4408510638297872;1175;657;7.0161702127659575;7
293;poland_warszawa_2019_bemowo.pb;greedy_welfare;0.05647158622741699;0.030561208724975586;0.025910377502441406;0.4588214929557247;1551;0.5752967359050445;2696;1145;7.402077151335312;7
294;poland_poznan_2023_11-fabianowo-kotowo-gorczyn-junikowo-kwiatowe-lawica.pb;greedy_welfare;0.07183146476745605;0.0004930496215820312;0.07133841514587402;0.9931360216142298;10800;0.9947499309201436;10857;57;1.29464861379755;1
295;poland_zabrze_2020_maciejow.pb;greedy_welfare;0.0007910728454589844;1.621246337890625e-05;0.0007748603820800781;0.9795057263411694;197;0.9949494949494949;198;1;1.0;1
296;poland_wroclaw_2017_rejon-nr-3-750.pb;greedy_welfare;0.10963082313537598;0.0002677440643310547;0.10936307907104492;0.9975577665416191;7090;0.9980292792792793;7104;14;1.0;1
297;poland_warszawa_2018_obszar-3-marymont-potok-zoliborz-dziennikarski.pb;greedy_welfare;0.020468950271606445;0.01572585105895996;0.004743099212646484;0.2317216637741255;354;0.4111498257839721;861;507;4.648083623693379;5
298;poland_warszawa_2017_kolo.pb;greedy_welfare;0.02816319465637207;0.021484851837158203;0.006678342819213867;0.23713015873015875;503;0.5;1006;503;5.39065606361829;5
299;poland_warszawa_2017_ursus-poludniowy.pb;greedy_welfare;0.04429912567138672;0.02199101448059082;0.0223081111907959;0.5035790402790037;1257;0.6326119778560644;1987;730;4.133366884750881;4
300;poland_warszawa_2017_ursynow.pb;greedy_welfare;0.4684865474700928;0.47385311126708984;-0.00536656379699707;-0.01145510757134316;2319;0.3094888562658481;7493;5174;7.6111036967836645;8
301;poland_warszawa_2017_ursynow-wysoki-polnocny.pb;greedy_welfare;0.10925459861755371;0.07819557189941406;0.03105902671813965;0.2842811846013177;2163;0.5015070716438674;4313;2150;5.030141432877348;5
302;poland_wroclaw_2016_rejon-nr-9-750.pb;greedy_welfare;0.04978299140930176;0.0001735687255859375;0.04960942268371582;0.9965134934508273;4276;0.9974341031024027;4287;11;1.0;1
303;poland_zabrze_2020_biskupice.pb;greedy_welfare;0.0009725093841552734;1.4543533325195312e-05;0.0009579658508300781;0.9850453542534935;403;0.9950617283950617;405;2;1.0;1
304;poland_wroclaw_2018_.pb;greedy_welfare;2.355499267578125;0.03771257400512695;2.317786693572998;0.983989562414977;52995;0.9850188658203379;53801;806;1.8764335235404546;2
305;poland_wroclaw_2018_rejon-nr-10-750.pb;greedy_welfare;0.07070374488830566;0.00015163421630859375;0.07055211067199707;0.9978553580641571;6509;0.9984660223960731;6519;10;1.0;1
306;poland_warszawa_2018_srodmiescie-poludniowe.pb;greedy_welfare;0.04511713981628418;0.04795503616333008;-0.0028378963470458984;-0.06290062620551162;368;0.26455787203450754;1391;1023;6.838245866283249;7
307;poland_lodz_2022_im-jozefa-montwilla-mireckiego.pb;greedy_welfare;0.006331443786621094;0.0017728805541992188;0.004558563232421875;0.7199879499924687;507;0.7776073619631902;652;145;2.1901840490797544;2
308;poland_warszawa_2022_wilanow.pb;greedy_welfare;0.06620097160339355;0.07993459701538086;-0.013733625411987305;-0.20745353246874854;478;0.19916666666666671;2400;1922;8.38125;8
309;poland_warszawa_2019_marysin-wawerski-poludniowy.pb;greedy_welfare;0.0002875328063964844;6.389617919921875e-05;0.00022363662719726562;0.7777777777777778;82;0.9647058823529412;85;3;1.3058823529411765;1
310;poland_warszawa_2017_wawer.pb;greedy_welfare;0.19442415237426758;0.19068145751953125;0.003742694854736328;0.0192501538982236;1366;0.37902330743618207;3604;2238;5.690899001109878;6
311;poland_wroclaw_2016_rejon-nr-1-750.pb;greedy_welfare;0.27199268341064453;0.0017628669738769531;0.2702298164367676;0.9935186970775407;6571;0.9942502647904373;6609;38;1.0;1
312;poland_warszawa_2020_ursus.pb;greedy_welfare;0.11131954193115234;0.11017107963562012;0.0011484622955322266;0.01031680759378717;1052;0.3300909946658299;3187;2135;6.630373391904612;7
313;poland_lodz_2020_baluty-centrum.pb;greedy_welfare;0.06069350242614746;0.021332979202270508;0.03936052322387695;0.6485129651525925;2143;0.722278395685878;2967;824;2.5827435119649476;3
314;poland_warszawa_2017_stare-bielany.pb;greedy_welfare;0.025413990020751953;0.010504007339477539;0.014909982681274414;0.5866840535114547;934;0.699625468164794;1335;401;3.2389513108614234;3
315;poland_warszawa_2019_grochow-polnocny.pb;greedy_welfare;0.003813505172729492;0.00023627281188964844;0.0035772323608398438;0.9380431384807753;614;0.956386292834891;642;28;3.014018691588785;3
316;poland_warszawa_2019_obszar-1-zoliborz-centralny.pb;greedy_welfare;0.015911579132080078;0.017140865325927734;-0.0012292861938476562;-0.07725733465192253;181;0.23941798941798942;756;575;6.726190476190476;7
317;poland_warszawa_2017_mlynow.pb;greedy_welfare;0.03745698928833008;0.02625727653503418;0.011199712753295898;0.29900194772955835;747;0.519471488178025;1438;691;4.588317107093185;5
318;poland_warszawa_2018_muranow.pb;greedy_welfare;0.008179426193237305;0.0015952587127685547;0.00658416748046875;0.804966916372752;738;0.8367346938775511;882;144;4.311791383219955;4
319;poland_warszawa_2019_obszar-ii-wilanow-niski-wschodni-zawady-powsinek-kepa-zawadowska.pb;greedy_welfare;0.01057124137878418;0.008409261703491211;0.0021619796752929688;0.20451521234127967;210;0.41015625;512;302;4.1328125;4
320;poland_warszawa_2019_wawer.pb;greedy_welfare;0.1766211986541748;0.1731724739074707;0.0034487247467041016;0.019526108830552835;1270;0.36337625178826893;3495;2225;5.715307582260372;6
321;poland_warszawa_2022_bielany.pb;greedy_welfare;0.7957828044891357;1.216273546218872;-0.42049074172973633;-0.5283988788871561;1235;0.1870361956686355;6603;5368;10.63516583371195;11
322;poland_warszawa_2017_radiowo-wolka-weglowa-placowka-huta.pb;greedy_welfare;0.0006906986236572266;1.9550323486328125e-05;0.0006711483001708984;0.9716948567483604;226;0.9912280701754386;228;2;1.0;1
323;poland_warszawa_2019_szczesliwice.pb;greedy_welfare;0.0276181697845459;0.017362117767333984;0.010256052017211914;0.3713516173309507;850;0.5476804123711341;1552;702;6.88659793814433;7
324;poland_wroclaw_2019_.pb;greedy_welfare;8.238568544387817;0.010022878646850586;8.228545665740967;0.998783419887466;80207;0.998866721462552;80298;91;1.0;1
