file;rule;profile_type;runtime;num_projects;num_projects_cat;num_voters;num_voters_cat;avg_vote_length;avg_vote_length_cat
poland_lodz_2020_koziny.pb;seqphragmen_res;ApprovalMultiProfile;0.007508754730224609;9;10;182;0;3.5714285714285716;4
poland_lodz_2020_koziny.pb;greed_cost_res;ApprovalProfile;0.024513959884643555;9;10;1270;1000;2.473228346456693;2
poland_lodz_2020_koziny.pb;greed_cost_res;ApprovalMultiProfile;0.004998922348022461;9;10;182;0;3.5714285714285716;4
poland_lodz_2020_lagiewniki.pb;greed_cost_res;ApprovalProfile;0.0049991607666015625;5;0;435;0;2.2367816091954023;2
poland_lodz_2020_lagiewniki.pb;greed_cost_res;ApprovalMultiProfile;0.0;5;0;27;0;2.5555555555555554;3
poland_lodz_2020_lagiewniki.pb;seqphragmen_res;ApprovalProfile;0.004000425338745117;5;0;435;0;2.2367816091954023;2
poland_lodz_2020_lagiewniki.pb;seqphragmen_res;ApprovalMultiProfile;0.00099945068359375;5;0;27;0;2.5555555555555554;3
poland_lodz_2020_chojny-dabrowa.pb;maxwelfare_cost_res;ApprovalProfile;0.3430485725402832;21;20;5220;5000;2.4308429118773947;2
poland_lodz_2020_chojny-dabrowa.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.11351275444030762;21;20;1425;1000;3.8750877192982456;4
poland_lodz_2020_julianow-marysin-rogi.pb;seqphragmen_res;ApprovalProfile;0.0875091552734375;15;20;2255;2000;2.439911308203991;2
poland_lodz_2020_julianow-marysin-rogi.pb;seqphragmen_res;ApprovalMultiProfile;0.05651235580444336;15;20;535;1000;3.6317757009345795;4
poland_lodz_2020_lagiewniki.pb;mes_cost_res;ApprovalProfile;0.011000633239746094;5;0;435;0;2.2367816091954023;2
poland_lodz_2020_lagiewniki.pb;mes_cost_res;ApprovalMultiProfile;0.0009999275207519531;5;0;27;0;2.5555555555555554;3
poland_lodz_2020_koziny.pb;mes_cost_res;ApprovalProfile;0.046000003814697266;9;10;1270;1000;2.473228346456693;2
poland_lodz_2020_koziny.pb;mes_cost_res;ApprovalMultiProfile;0.007999420166015625;9;10;182;0;3.5714285714285716;4
poland_lodz_2020_julianow-marysin-rogi.pb;mes_cost_res;ApprovalProfile;0.14702177047729492;15;20;2255;2000;2.439911308203991;2
